Šalis,Spustelėjimai,Parodymai,PR,Pozicija
Indija,1,20,5%,34.75
Lietuva,1,15,6.67%,2.87
Lenkija,1,2,50%,5.5
Jungtinės Valstijos,0,102,0%,19.68
Filipinai,0,17,0%,25.65
Tailandas,0,13,0%,21.54
Indonezija,0,9,0%,40
Nyderlandų Karalystė,0,8,0%,7.5
Meksika,0,8,0%,52.25
Italija,0,7,0%,5.29
Brazilija,0,7,0%,7.43
Iranas,0,7,0%,8.43
Jungtinė Karalystė,0,7,0%,10.86
Rusija,0,5,0%,6.2
Vokietija,0,5,0%,6.8
Kanada,0,5,0%,13.4
Malaizija,0,5,0%,49.4
Šveicarija,0,4,0%,6.25
Japonija,0,4,0%,6.75
Latvija,0,4,0%,7.25
Danija,0,4,0%,24.75
Australija,0,4,0%,27.25
Egiptas,0,3,0%,5.33
Jungtiniai Arabų Emyratai,0,3,0%,6
Gruzija,0,3,0%,6
Švedija,0,3,0%,7.33
Pietų Korėja,0,3,0%,12
Vietnamas,0,3,0%,48.67
Jordanija,0,3,0%,66.67
Portugalija,0,2,0%,7
Šri Lanka,0,2,0%,7.5
Honkongas,0,2,0%,9
Kinija,0,2,0%,13
Taivanis,0,2,0%,19
Izraelis,0,2,0%,28.5
Ispanija,0,2,0%,48
Bangladešas,0,2,0%,58
Turkija,0,2,0%,61.5
Etiopija,0,1,0%,1
Saudo Arabija,0,1,0%,1
Ukraina,0,1,0%,1
Belgija,0,1,0%,5
Honduras,0,1,0%,5
Airija,0,1,0%,6
Armėnija,0,1,0%,7
Čekija,0,1,0%,8
Suomija,0,1,0%,8
Vengrija,0,1,0%,8
Uzbekistanas,0,1,0%,8
Albanija,0,1,0%,10
Kolumbija,0,1,0%,10
Nigerija,0,1,0%,10
Pakistanas,0,1,0%,12
Prancūzija,0,1,0%,58
