Šalis,Spustelėjimai,Parodymai,PR,Pozicija
Indija,2,57,3.51%,23.77
Lietuva,2,35,5.71%,4.23
Jungtinė Karalystė,1,39,2.56%,28.69
Italija,1,14,7.14%,8.79
Lenkija,1,12,8.33%,12.42
Pietų Afrika,1,2,50%,6.5
Jungtinės Valstijos,0,373,0%,23.88
Filipinai,0,33,0%,22.88
Indonezija,0,29,0%,28.45
Tailandas,0,27,0%,22.48
Vokietija,0,22,0%,7.36
Nyderlandų Karalystė,0,22,0%,11.05
Vietnamas,0,20,0%,32.4
Kanada,0,19,0%,9.58
Meksika,0,18,0%,36.39
Egiptas,0,17,0%,12.88
Brazilija,0,16,0%,9.12
Rusija,0,16,0%,16.06
Nigerija,0,13,0%,12.23
Malaizija,0,12,0%,29.58
Japonija,0,11,0%,8.73
Ispanija,0,11,0%,19.55
Bangladešas,0,10,0%,23.8
Australija,0,10,0%,26
Iranas,0,9,0%,9.56
Turkija,0,9,0%,29.78
Jungtiniai Arabų Emyratai,0,8,0%,5.75
Švedija,0,8,0%,7.38
Čilė,0,8,0%,11.25
Danija,0,8,0%,19.62
Pietų Korėja,0,7,0%,9.14
Jordanija,0,7,0%,51.71
Belgija,0,6,0%,6.33
Saudo Arabija,0,6,0%,6.83
Prancūzija,0,6,0%,33.5
Šveicarija,0,5,0%,5.2
Latvija,0,5,0%,6.8
Pakistanas,0,5,0%,10.6
Ukraina,0,5,0%,14.6
Portugalija,0,4,0%,10.25
Kolumbija,0,4,0%,11
Taivanis,0,4,0%,11
Kinija,0,4,0%,11.5
Izraelis,0,4,0%,27.5
Gruzija,0,3,0%,6
Marokas,0,3,0%,6.67
Vengrija,0,3,0%,8.67
Singapūras,0,3,0%,10.67
Honkongas,0,3,0%,14.67
Ekvadoras,0,3,0%,26
Naujoji Zelandija,0,3,0%,56.67
Mauricijus,0,2,0%,3.5
Kroatija,0,2,0%,6
Austrija,0,2,0%,6.5
Šri Lanka,0,2,0%,7.5
Albanija,0,2,0%,8
Paragvajus,0,2,0%,8.5
Rumunija,0,2,0%,9
Čekija,0,2,0%,9.5
Suomija,0,2,0%,9.5
Sudanas,0,2,0%,11
Argentina,0,2,0%,28.5
Alžyras,0,2,0%,63
Etiopija,0,1,0%,1
Uganda,0,1,0%,3
Bolivija,0,1,0%,5
Honduras,0,1,0%,5
Bulgarija,0,1,0%,6
Kiurasao,0,1,0%,6
Airija,0,1,0%,6
Moldova,0,1,0%,6
Jemenas,0,1,0%,6
Armėnija,0,1,0%,7
Mongolija,0,1,0%,7
Peru,0,1,0%,7
Afganistanas,0,1,0%,8
Norvegija,0,1,0%,8
Uzbekistanas,0,1,0%,8
Brunėjus,0,1,0%,9
Azerbaidžanas,0,1,0%,10
Kambodža,0,1,0%,10
Serbija,0,1,0%,10
Madagaskaras,0,1,0%,11
Vanuatu,0,1,0%,13
Irakas,0,1,0%,25
